time(min),E_avg_signal,Z_avg_signal
0,16575.02917,1.2515225
1,16295.40417,231.9873333
2,16106.03333,403.315
3,15960.24583,532
4,15867.6875,658.1575
5,15730.74167,767.4075
6,15640.22083,870.4716667
7,15551.1875,994.2741667
8,15433.5625,1075.96
9,15340.89167,1172.388333
10,15248.83333,1265.546667
11,15186.37083,1369.56
12,15059.14583,1422.2625
13,15016.6375,1499.094167
14,14953.225,1549.264167
15,14886.48333,1592.33
16,14841.83333,1664.465833
17,14814.27083,1722.278333
18,14792.54583,1760.8575
19,14731.975,1782.589167
20,14676.45,1805.186667
21,14685.7625,1845.715833
22,14672.99583,1882.9675
23,14656.19167,1885.325
24,14601.94583,1916.661667
25,14622.24583,1937.9575
26,14589.92083,1934.541667
27,14544.9875,1963.020833
28,14513.49583,1979.5475
29,14551.4,2017.5325
30,14512.12917,2033.411667
31,14461.0375,2023.136667
32,14456.225,2075.654167
33,14432.36667,2086.403333
34,14443.875,2126.9675
35,14392.7625,2155.358333
36,14355.82917,2153.12
37,14369.15417,2222
38,14333.35,2222.253333
39,14284.40833,2244.23
40,14248.58333,2271.216667
41,14226.42917,2302.634167
42,14204.2125,2310.464167
43,14203.00833,2367.639167
44,14165.75833,2373.605
45,14147.6875,2399.066667
46,14144.62083,2429.280833
47,14096.64583,2439.994167
48,14069.69583,2431.291667
49,14045.7,2490.59
50,14020.45417,2506.495
51,14005.55,2520.729167
52,14025.81667,2551.779167
53,13933.6375,2531.1475
54,13946.85417,2557.358333
55,13941.85,2581.05
56,13898.37917,2582.218333
57,13906.725,2596.073333
58,13888.625,2614.596667
59,13882.06667,2619.738333
60,13885.80833,2653.115
61,13884.85833,2663.25
62,13861.66667,2667.196667
63,13859.90417,2685.155
64,13853.46667,2690.435
65,13826.425,2690.636667
66,13830.01667,2712.338333
67,13797.29167,2710.11
68,13798.35,2719.298333
69,13797.87083,2733.975
70,13809.14583,2752.551667
71,13741.27083,2742.653333
72,13786.95,2757.633333
73,13766.9375,2735.34
74,13744.11667,2744.968333
75,13734.00417,2734.025
76,13744.6625,2776.98
77,13745.8875,2776.401667
78,13729.50833,2778.533333
79,13713.47083,2774.055
80,13702.33333,2781.063333
81,13733.39583,2794.766667
82,13711.2375,2809.116667
83,13729.075,2809.23
84,13711.8625,2790.043333
85,13681.0375,2799.926667
86,13662.53333,2783.355
87,13704.26667,2834.841667
88,13709.09167,2832.38
89,13653.55833,2804.913333
90,13689.975,2839.961667
91,13666.425,2818.05
92,13702.58333,2856.701667
93,13665.90417,2813.635
94,13665.65417,2842.441667
95,13691.92083,2862.161667
96,13683.93333,2866.433333
97,13682.90417,2862.138333
98,13631.2125,2821.421667
99,13665.2375,2868.631667
100,13643.875,2843.726667
101,13642.49583,2830.103333
102,13621.77917,2849.413333
103,13618.85417,2820.268333
104,13663.425,2885.916667
105,13637.60417,2869.653333
106,13627.09167,2862.583333
107,13621.6875,2867.488333
108,13579.10833,2865.726667
109,13619.10833,2874.968333
110,13588.68333,2876.431667
111,13608.3,2855.338333
112,13609.15417,2871.081667
113,13635.74167,2889.941667
114,13609.9,2857.05
115,13609.61667,2890.835
116,13604.825,2888.81
117,13605.49583,2891.838333
118,13612.03333,2883.746667
119,13629.5125,2911.611667
